METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.161                    0.188                    0.176                    0.143                    0.136                    0.131                    0.048                    0.116                    0.159                    0.126                    
Duplication ratio                                      1.806                    1.644                    3.97                     1.049                    1.006                    1.459                    2.09                     1.435                    1.147                    1.004                    
Avg. number of transcripts mapped to one isoform       1.985                    2.5                      4.024                    1.77                     1.622                    1.733                    2.008                    2.338                    1.724                    1.509                    

50%-assembled genes                                    8947                     9467                     9166                     8582                     7964                     7837                     3054                     6519                     9283                     8232                     
95%-assembled genes                                    3486                     3292                     3579                     2667                     710                      2492                     1353                     1502                     3363                     2650                     
50%-covered genes                                      10329                    11000                    10167                    10251                    10120                    9192                     3115                     8262                     11020                    9329                     
95%-covered genes                                      4299                     4434                     4451                     3404                     1744                     2981                     1415                     2188                     4217                     3034                     

50%-assembled isoforms                                 12623                    15475                    15176                    9979                     9764                     9616                     3794                     8309                     11326                    9031                     
95%-assembled isoforms                                 4065                     3575                     4330                     2749                     714                      2736                     1523                     1631                     3535                     2654                     
50%-covered isoforms                                   14765                    19493                    17208                    12503                    13253                    11421                    3874                     10900                    13922                    10517                    
95%-covered isoforms                                   4991                     4943                     5457                     3512                     1755                     3246                     1591                     2369                     4440                     3039                     

50%-assembled exons                                    127055                   137303                   128451                   124080                   117223                   111190                   45571                    97773                    128822                   110419                   
95%-assembled exons                                    110720                   114399                   111920                   105549                   99687                    96187                    42632                    82708                    110040                   96368                    

Mean isoform assembly                                  0.462                    0.401                    0.504                    0.335                    0.382                    0.399                    0.707                    0.402                    0.354                    0.398                    

Mean isoform coverage                                  0.515                    0.461                    0.551                    0.385                    0.451                    0.444                    0.719                    0.473                    0.403                    0.439                    
Mean exon coverage                                     0.903                    0.861                    0.902                    0.855                    0.887                    0.881                    0.959                    0.876                    0.86                     0.886                    

Avg. percentage of isoform 50%-covered exons           0.507                    0.442                    0.553                    0.349                    0.401                    0.421                    0.778                    0.462                    0.366                    0.41                     
Avg. percentage of isoform 95%-covered exons           0.393                    0.322                    0.444                    0.238                    0.282                    0.308                    0.701                    0.337                    0.257                    0.297                    

 == GeneMarkS-T METRICS == 
Genes                                                  30009                    43585                    73686                    16066                    23174                    21088                    8375                     23879                    21429                    15644                    

