Metric,Trinity_value,Trinity_norm-score,Oases_value,Oases_norm-score,Trans-ABySS_value,Trans-ABySS_norm-score,SOAP-Trans_value,SOAP-Trans_norm-score,Bridger_value,Bridger_norm-score,BinPacker_value,BinPacker_norm-score,IDBA-Tran_value,IDBA-Tran_norm-score,Shannon_value,Shannon_norm-score,SPAdes-sc_value,SPAdes-sc_norm-score,SPAdes-rna_value,SPAdes-rna_norm-score
Overall mapping rate , 92.58,0.91 , 85.78,0.53 , 94.22,1.0 , 90.52,0.79 , 89.14,0.72 , 84.63,0.46 , 76.39,0.0 , 90.99,0.82 , 91.94,0.87 , 93.4,0.95 
Transcripts >1000nt , 31319,0.16 , 115596,1.0 , 37410,0.22 , 15251,0.0 , 23487,0.08 , 22928,0.08 , 16181,0.01 , 35785,0.2 , 15598,0.0 , 21867,0.07 
Misassemblies , 1294,0.94 , 18893,0.0 , 4769,0.75 , 125,1.0 , 2509,0.87 , 2649,0.87 , 203,1.0 , 2605,0.87 , 2042,0.9 , 1219,0.94 
Mismatches per transcript , 1.75,0.6 , 2.52,0.36 , 0.75,0.9 , 0.44,1.0 , 1.49,0.68 , 3.67,0.0 , 0.83,0.88 , 1.43,0.7 , 0.72,0.91 , 1.07,0.81 
Average alignment length , 1040.88,0.29 , 1364.38,0.44 , 534.4,0.04 , 455.96,0.0 , 866.61,0.2 , 2505.43,1.0 , 697.75,0.12 , 918.85,0.23 , 489.2,0.02 , 470.16,0.01 
95%-assembled isoforms , 4696,0.9 , 5115,1.0 , 4004,0.74 , 3225,0.56 , 2965,0.5 , 2851,0.48 , 780,0.0 , 2964,0.5 , 2795,0.46 , 3850,0.71 
Duplication ratio , 1.757,0.78 , 4.347,0.0 , 1.663,0.8 , 1.06,0.98 , 1.451,0.87 , 1.884,0.74 , 1.007,1.0 , 1.954,0.72 , 1.013,1.0 , 1.161,0.95 
Ex90N50 , 2839,0.56 , 3003,0.64 , 2039,0.19 , 2385,0.35 , 2745,0.52 , 3764,1.0 , 1967,0.15 , 2328,0.32 , 2766,0.53 , 1647,0.0 
\# full-length transcripts , 8458,0.93 , 8861,1.0 , 8405,0.92 , 7569,0.77 , 7540,0.77 , 6844,0.64 , 3197,0.0 , 7524,0.76 , 7004,0.67 , 7226,0.71 
Reference coverage , 0.08,0.37 , 0.12,0.9 , 0.13,1.0 , 0.08,0.27 , 0.08,0.26 , 0.06,0.0 , 0.08,0.27 , 0.12,0.92 , 0.08,0.28 , 0.09,0.48 
Mean ORF percentage , 52.15,0.77 , 43.82,0.0 , 51.97,0.75 , 49.38,0.51 , 47.64,0.35 , 47.66,0.35 , 50.41,0.61 , 54.69,1.0 , 48.01,0.39 , 45.99,0.2 
Optimal score , 0.19,0.35 , 0.02,0.0 , 0.07,0.12 , 0.33,0.64 , 0.18,0.33 , 0.11,0.2 , 0.39,0.76 , 0.04,0.04 , 0.51,1.0 , 0.3,0.57 
Percentage bases uncovered , 0.58,0.39 , 0.95,0.0 , 0.62,0.35 , 0.13,0.87 , 0.47,0.51 , 0.76,0.2 , 0.01,1.0 , 0.71,0.25 , 0.03,0.98 , 0.2,0.8 
Number of ambiguous bases , 131284,0.82 , 413418,0.0 , 159092,0.74 , 77171,0.97 , 101788,0.9 , 82239,0.96 , 67564,1.0 , 134108,0.81 , 76646,0.97 , 120597,0.85 
Nucleotide F1 , 0.46,0.64 , 0.2,0.0 , 0.46,0.63 , 0.55,0.86 , 0.49,0.71 , 0.3,0.25 , 0.56,0.87 , 0.37,0.42 , 0.57,0.91 , 0.61,1.0 
Contig F1 , 0.01,0.27 , 0.01,0.28 , 0.05,1.0 , 0.04,0.8 , 0.01,0.23 , 0,0.0 , 0.01,0.24 , 0.03,0.63 , 0.01,0.28 , 0.02,0.43 
KC score , 0.55,0.87 , 0.45,0.1 , 0.57,1.0 , 0.49,0.43 , 0.51,0.58 , 0.5,0.5 , 0.43,0.0 , 0.55,0.9 , 0.48,0.36 , 0.56,0.93 
RSEM EVAL , -1.62,1.0 , -2.35,0.38 , -1.64,0.98 , -1.85,0.81 , -1.8,0.85 , -1.95,0.72 , -2.8,0.0 , -1.74,0.9 , -2.19,0.52 , -1.71,0.92 
Complete BUSCOs , 4119,1.0 , 4055,0.97 , 4121,1.0 , 3667,0.77 , 3979,0.93 , 3590,0.73 , 2134,0.0 , 3777,0.83 , 3644,0.76 , 3542,0.71 
Missing BUSCOs , 1759,1.0 , 1817,0.91 , 1771,0.98 , 1855,0.85 , 1785,0.96 , 2392,0.0 , 2217,0.28 , 1955,0.69 , 1835,0.88 , 1780,0.97 
